1,0
2,0.21
3,1.01
4,4.97
5,10.09
6,13.46
7,16.24
8,18.44
9,20.24
10,21.76
11,23.06
12,24
13,25.16
14,26.11
15,26.66
16,27.55
17,28.16
18,28.99
19,29.46
20,30.03
21,30.58
22,30.86
23,31.41
24,31.65
25,31.84
26,32.33
27,32.75
28,33.13
29,33.19
30,33.76
31,33.89
32,34.01
33,34.43
34,34.6
35,34.84
36,34.82
37,35.41
38,35.33
39,35.74
40,35.82
41,35.95
42,36.41
43,36.42
44,36.53
45,36.66
46,36.85
47,37.02
48,37.27
49,37.43
50,37.49
51,37.64
52,37.77
53,37.81
54,37.87
55,38.1
56,38.16
57,38.41
58,38.48
59,38.66
60,38.5
61,38.63
